Symbol,logFC,P.Value,adj.P.Val
AGPAT9,0.647307603755782,6.87653625953817e-06,1.81049417721814e-05
DUSP7,0.647227110582658,1.57214727142703e-10,7.71706106000972e-10
SALL4,0.646999443445968,1.4158314066481e-05,3.55637004812767e-05
PALB2,0.646811306813346,2.63364460969397e-10,1.2494647696172e-09
RBM25,0.64651878209386,1.32619116119677e-14,1.1860629012661e-13
STXBP3,0.646056695487031,1.38310902533513e-12,9.10897032303754e-12
RPS27,0.645978772018359,2.08435008786053e-10,1.00382731104766e-09
RPS6KA5,0.645945844983099,5.57882102541318e-08,1.94642580066737e-07
PCNT,0.645645007538322,1.49598908986619e-15,1.56994620816025e-14
SETD8,0.645260151118146,6.0978854603806e-14,4.90515274970106e-13
PPP1R12B,0.645090341562672,1.14857701198186e-10,5.75616519207259e-10
MON1B,0.645046912259597,5.63128094510265e-13,3.92065051381484e-12
PNP,0.644514400483919,7.51913552160966e-13,5.1465900790217e-12
RAB18,0.644370600552279,2.12829266866776e-14,1.83474184822524e-13
MRPL45P2,0.643729350935908,1.39504989179008e-06,4.01620943515347e-06
NIPBL,0.643620591114754,2.78970623039892e-14,2.36338839646251e-13
TRAPPC5,0.643572788063925,0.209496197783011,0.259555789201688
PFDN2,0.643359154200652,2.54687492631069e-13,1.86441538490148e-12
ENO4,0.643320411221982,0.184019875798521,0.231490445810802
ADCY10P1,0.643305831267658,0.0238368339130342,0.0362788592578093
GIGYF1,0.643297913777724,5.58692545871446e-14,4.51753217785337e-13
FAM8A6P,0.642436322396154,0.0727252726298525,0.100240617606507
YES1,0.642373685970443,2.63344109731675e-13,1.92026815150964e-12
